Zip Code,2023,2024,YoY Change,%change
92648,3120,3673,553,0.17724359
92649,2156,2519,363,0.168367347
92650,1,1,0,0
92651,2742,3195,453,0.165207877
92652,31,26,-5,-0.161290323
92653,2072,2556,484,0.233590734
92654,14,12,-2,-0.142857143
92655,234,301,67,0.286324786
92656,3594,4496,902,0.250973845
92657,1849,2164,315,0.170362358
92658,59,64,5,0.084745763
92659,19,21,2,0.105263158
92660,3806,4235,429,0.112716763
92661,221,257,36,0.162895928
92662,186,228,42,0.225806452
92663,1523,1799,276,0.181221274
92670,,,0,NaN
92672,2038,2450,412,0.202158979
92673,2662,3066,404,0.15176559
92674,9,10,1,0.111111111
92675,2097,2575,478,0.227944683
92676,137,169,32,0.233576642
92677,5047,6324,1277,0.253021597
92678,16,25,9,0.5625
92679,3291,3954,663,0.201458523
92680,,,0,NaN
92683,3705,4530,825,0.222672065
92684,8,12,4,0.5
92685,9,12,3,0.333333333
92688,2593,3234,641,0.247204011
92690,20,17,-3,-0.15
92691,2611,3224,613,0.234775948
92692,3323,4153,830,0.2497743
92693,3,4,1,0.333333333
92694,3955,4921,966,0.244247788
92697,16,19,3,0.1875
92698,,,0,NaN
